Name,Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Email,Phone Number,Year,Month
Grace,25,50000.0,Male,HR,Manager,2018-04-05,D,email@example.com,Unknown,2018,4
David,36,65000.0,Female,Finance,Director,2020-02-20,F,user@domain.com,1234567890,2020,2
Hannah,35,60000.0,Female,Sales,Director,2020-01-15,C,email@example.com,0987654321,2020,1
Eve,36,50000.0,Female,IT,Manager,2018-04-05,A,name@company.org,Unknown,2018,4
Grace,36,60000.0,Female,Finance,Manager,2020-01-15,F,name@company.org,0987654321,2020,1
Jack,36,65000.0,Other,Marketing,Director,2019-03-25,F,user@domain.com,Unknown,2019,3
Charlie,36,50000.0,Male,Marketing,Clerk,2019-12-01,B,Unknown,1234567890,2019,12
Grace,40,50000.0,Other,HR,Director,2019-03-25,C,Unknown,Unknown,2019,3
Hannah,40,60000.0,Female,Marketing,Manager,2020-01-15,C,user@domain.com,1234567890,2020,1
Eve,30,60000.0,Other,Finance,Assistant,2020-02-20,A,Unknown,Unknown,2020,2
David,25,70000.0,Male,Marketing,Analyst,2019-12-01,B,Unknown,1234567890,2019,12
Hannah,36,70000.0,Other,Finance,Assistant,2019-03-25,A,Unknown,Unknown,2019,3
Hannah,30,50000.0,Male,IT,Assistant,2018-04-05,D,Unknown,Unknown,2018,4
Charlie,25,55000.0,Other,HR,Manager,2020-02-20,F,Unknown,5555555555,2020,2
Frank,50,60000.0,Male,Marketing,Director,2019-03-25,A,Unknown,1234567890,2019,3
Eve,35,65000.0,Male,Finance,Clerk,2018-04-05,F,Unknown,1234567890,2018,4
Bob,40,55000.0,Female,Sales,Assistant,2020-01-15,B,Unknown,0987654321,2020,1
Hannah,50,55000.0,Male,HR,Director,2018-04-05,D,user@domain.com,Unknown,2018,4
Frank,25,60000.0,Female,IT,Clerk,2019-03-25,B,email@example.com,5555555555,2019,3
Bob,50,50000.0,Female,Finance,Assistant,2019-03-25,D,user@domain.com,Unknown,2019,3
Eve,35,50000.0,Female,IT,Clerk,2020-01-15,D,email@example.com,0987654321,2020,1
Alice,25,50000.0,Other,IT,Director,2018-04-05,F,user@domain.com,5555555555,2018,4
Jack,50,50000.0,Other,Marketing,Analyst,2018-04-05,B,email@example.com,Unknown,2018,4
Frank,40,70000.0,Other,Marketing,Director,2020-01-15,B,email@example.com,5555555555,2020,1
Ivy,40,50000.0,Other,Finance,Manager,2018-04-05,A,name@company.org,1234567890,2018,4
Alice,30,70000.0,Male,Sales,Clerk,2020-01-15,B,email@example.com,1234567890,2020,1
Jack,50,70000.0,Male,Finance,Analyst,2020-02-20,A,email@example.com,0987654321,2020,2
Charlie,36,50000.0,Other,Sales,Clerk,2019-03-25,C,name@company.org,Unknown,2019,3
Grace,50,60000.0,Male,IT,Clerk,2020-02-20,C,Unknown,Unknown,2020,2
David,25,65000.0,Male,HR,Assistant,2019-12-01,C,Unknown,5555555555,2019,12
Ivy,25,55000.0,Female,Finance,Manager,2019-12-01,B,name@company.org,0987654321,2019,12
Charlie,50,70000.0,Female,Finance,Clerk,2019-12-01,B,Unknown,Unknown,2019,12
Eve,35,60000.0,Female,Sales,Director,2020-01-15,A,email@example.com,1234567890,2020,1
